epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.45,0.76803,2.27655,0.97742,0.98786,0.88485,0.98728,0.82826,0.59323,2.36002,0.86,0.00032,0.00032,0.00032
2,458.184,0.69861,1.16734,0.90274,1,0.66313,0.99104,0.81596,0.60653,2.49524,0.85984,0.000646932,0.000646932,0.000646932
3,676.147,0.68403,1.02541,0.90256,1,0.6888,0.97686,0.8109,0.5828,2.35531,0.87216,0.0009604,0.0009604,0.0009604
4,888.808,0.66978,0.95552,0.91438,0.95034,0.62404,0.87012,0.69877,0.76685,1.82582,0.95471,0.0012604,0.0012604,0.0012604
5,1106.02,0.66882,0.86499,0.92084,0.90233,0.90382,0.95629,0.7491,0.76308,1.48895,0.9724,0.00154694,0.00154694,0.00154694
6,1331.18,0.66841,0.83427,0.92843,0.94671,0.96555,0.97158,0.79003,0.70374,1.23624,0.93435,0.001802,0.001802,0.001802
7,1556.18,0.66471,0.7877,0.91537,0.98899,0.97669,0.98986,0.80763,0.65199,1.07017,0.93054,0.0017624,0.0017624,0.0017624
8,1787.63,0.6719,0.69864,0.91411,0.97785,0.97826,0.98924,0.83946,0.60729,1.02694,0.90233,0.0017228,0.0017228,0.0017228
9,2016.71,0.64607,0.67088,0.90591,0.99929,0.98913,0.99385,0.85453,0.57409,0.77076,0.878,0.0016832,0.0016832,0.0016832
10,2227.44,0.6218,0.60776,0.89296,0.99909,1,0.995,0.85244,0.56966,0.70285,0.88341,0.0016436,0.0016436,0.0016436
11,2448.57,0.62935,0.60212,0.89933,0.9844,1,0.99382,0.84448,0.57985,0.67569,0.90119,0.001604,0.001604,0.001604
12,2670.35,0.64044,0.59627,0.92221,0.99933,0.97826,0.99468,0.86418,0.57901,0.69451,0.89857,0.0015644,0.0015644,0.0015644
13,2884.06,0.63933,0.55278,0.91496,1,0.96787,0.9942,0.862,0.57646,0.71536,0.88479,0.0015248,0.0015248,0.0015248
14,3098.73,0.63747,0.53415,0.9168,0.99857,0.98913,0.99489,0.86881,0.56045,0.55515,0.88118,0.0014852,0.0014852,0.0014852
15,3320.19,0.60707,0.50793,0.90792,0.99588,0.98913,0.99439,0.8557,0.57734,0.51042,0.86867,0.0014456,0.0014456,0.0014456
16,3547.56,0.60713,0.50061,0.9041,1,0.94301,0.98737,0.84686,0.5874,0.67306,0.87373,0.001406,0.001406,0.001406
17,3776.2,0.6036,0.47363,0.88453,0.97869,0.99838,0.99117,0.85524,0.56636,0.54649,0.87404,0.0013664,0.0013664,0.0013664
18,4001.67,0.59787,0.46056,0.88931,0.98469,1,0.99457,0.86814,0.52932,0.45138,0.86365,0.0013268,0.0013268,0.0013268
19,4227.86,0.57444,0.44389,0.89053,0.98844,0.98913,0.99374,0.86344,0.52673,0.47698,0.87577,0.0012872,0.0012872,0.0012872
20,4452.74,0.57457,0.4294,0.8989,0.99638,1,0.995,0.86594,0.53668,0.43021,0.87079,0.0012476,0.0012476,0.0012476
21,4667.99,0.57975,0.42408,0.90186,0.9879,1,0.99457,0.8706,0.54955,0.45905,0.86531,0.001208,0.001208,0.001208
22,4888.56,0.56664,0.41855,0.89301,0.99998,1,0.995,0.8854,0.50223,0.39691,0.84993,0.0011684,0.0011684,0.0011684
23,5116.17,0.53888,0.39817,0.87168,0.98763,1,0.99446,0.86573,0.54593,0.39859,0.85861,0.0011288,0.0011288,0.0011288
24,5341.47,0.54966,0.39476,0.88178,0.98594,1,0.99478,0.88079,0.53501,0.40511,0.86117,0.0010892,0.0010892,0.0010892
25,5561.83,0.53724,0.38202,0.89584,0.99752,1,0.995,0.87896,0.52181,0.43299,0.87379,0.0010496,0.0010496,0.0010496
26,5775.99,0.52974,0.39189,0.88856,0.99999,1,0.995,0.88003,0.50305,0.37564,0.85718,0.00101,0.00101,0.00101
27,6001.41,0.5562,0.38391,0.89878,1,0.99686,0.995,0.87215,0.52404,0.38482,0.85881,0.0009704,0.0009704,0.0009704
28,6233.05,0.54161,0.38302,0.88186,0.98925,0.99982,0.99489,0.8728,0.49298,0.3589,0.84578,0.0009308,0.0009308,0.0009308
29,6451.92,0.51404,0.35491,0.88124,0.99951,1,0.995,0.88488,0.48358,0.32292,0.83882,0.0008912,0.0008912,0.0008912
30,6666.89,0.51634,0.34911,0.87646,0.99895,1,0.995,0.8899,0.46197,0.33719,0.83492,0.0008516,0.0008516,0.0008516
31,6905.68,0.51181,0.34797,0.88517,0.98881,1,0.995,0.88506,0.50458,0.35379,0.84325,0.000812,0.000812,0.000812
32,7138.93,0.49493,0.33954,0.87235,1,0.99847,0.995,0.8922,0.47173,0.329,0.83329,0.0007724,0.0007724,0.0007724
