epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9932,2.22686,3.86521,2.03805,0.01795,0.48413,0.03337,0.01492,1.78965,3.76025,1.70261,4.614e-05,4.614e-05,4.614e-05
2,76.9817,1.63085,3.7738,1.59982,0.03774,0.90476,0.09507,0.06221,1.23986,3.54273,1.23629,9.50215e-05,9.50215e-05,9.50215e-05
3,115.722,1.45709,3.72476,1.44912,0.04014,1,0.15686,0.09562,1.21658,3.49649,1.18262,0.000138574,0.000138574,0.000138574
4,160.178,1.30857,3.49513,1.32122,0.03774,1,0.16571,0.10263,1.1454,3.39848,1.10974,0.000176797,0.000176797,0.000176797
5,194.801,1.34234,3.33135,1.28684,0.03564,1,0.16976,0.10841,1.20172,3.27071,1.10652,0.000209691,0.000209691,0.000209691
6,237.766,1.33283,3.1977,1.26471,0.03508,1,0.17214,0.10947,1.2107,3.1155,1.09263,0.000237256,0.000237256,0.000237256
7,279.333,1.2943,3.0866,1.26171,0.03514,1,0.18344,0.11724,1.24137,3.0526,1.10408,0.000259491,0.000259491,0.000259491
8,318.685,1.31688,3.06481,1.24285,0.31127,0.7619,0.2038,0.13038,1.25133,2.97969,1.10225,0.000276398,0.000276398,0.000276398
9,357.268,1.32608,2.93316,1.28426,0.09821,0.81746,0.21064,0.13781,1.26765,2.95934,1.10405,0.000287975,0.000287975,0.000287975
10,405.201,1.3059,2.91891,1.26926,0.31912,0.61905,0.20962,0.12736,1.37843,2.9599,1.15259,0.000294223,0.000294223,0.000294223
11,440.013,1.2921,2.64976,1.25167,0.37447,0.36028,0.25706,0.17339,1.25959,2.76747,1.1335,0.000295142,0.000295142,0.000295142
12,472.99,1.32587,2.54043,1.27595,0.3911,0.57035,0.27925,0.18595,1.2102,2.61794,1.11675,0.000290732,0.000290732,0.000290732
13,506.615,1.27177,2.4956,1.27629,0.42282,0.58555,0.29935,0.19617,1.20076,2.52999,1.12863,0.000280993,0.000280993,0.000280993
14,540.691,1.22855,2.36643,1.22858,0.42282,0.58555,0.29935,0.19617,1.20076,2.52999,1.12863,0.000265924,0.000265924,0.000265924
15,577.729,1.27773,2.33741,1.27607,0.42728,0.58821,0.34016,0.21285,1.2297,2.41178,1.1734,0.000236083,0.000236083,0.000236083
16,620.44,1.28446,2.27461,1.26626,0.42947,0.66076,0.38326,0.23476,1.25739,2.29183,1.21227,0.000198018,0.000198018,0.000198018
17,661.228,1.22386,2.30311,1.2621,0.41198,0.65873,0.40819,0.25722,1.25784,2.19246,1.23685,0.000159952,0.000159952,0.000159952
18,699.372,1.28037,2.26134,1.29197,0.34742,0.68365,0.4134,0.25986,1.25381,2.12286,1.24571,0.000121887,0.000121887,0.000121887
19,737.978,1.26415,2.2552,1.28545,0.37682,0.71274,0.4257,0.27243,1.24933,2.09561,1.25013,8.3821e-05,8.3821e-05,8.3821e-05
20,772.341,1.26303,2.2292,1.3009,0.39455,0.71261,0.435,0.27927,1.24385,2.08136,1.25061,4.57555e-05,4.57555e-05,4.57555e-05
