epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0351,2.23325,2.75266,2.03864,0.02548,0.8629,0.43989,0.19704,1.73473,2.73883,1.77961,8e-05,8e-05,8e-05
2,86.3832,1.53839,2.38617,1.44573,0.02952,1,0.99484,0.51872,1.46388,2.1936,1.29655,0.000178218,0.000178218,0.000178218
3,121.124,1.43537,1.77504,1.30651,0.95828,0.92608,0.96709,0.5276,1.4487,1.73307,1.23585,0.000274456,0.000274456,0.000274456
4,149.611,1.37455,1.36665,1.30602,0.96764,0.97581,0.97461,0.55802,1.41702,1.10413,1.27841,0.000368714,0.000368714,0.000368714
5,181.482,1.43576,1.09508,1.30128,0.98897,0.98387,0.99436,0.56269,1.49371,1.21634,1.23286,0.000460992,0.000460992,0.000460992
6,216.803,1.37281,1.0141,1.30509,0.99163,0.95584,0.99419,0.56796,1.48021,1.05556,1.22773,0.00055129,0.00055129,0.00055129
7,251.845,1.36133,1.01484,1.31071,0.99058,1,0.99492,0.57006,1.48129,0.87342,1.22802,0.000639608,0.000639608,0.000639608
8,287.267,1.349,0.94708,1.31002,0.99068,0.98387,0.99476,0.57286,1.49699,1.07539,1.23056,0.000725946,0.000725946,0.000725946
9,322.25,1.37744,0.91788,1.33479,0.98385,0.98266,0.9935,0.55066,1.61224,1.03588,1.29178,0.000810304,0.000810304,0.000810304
10,357.302,1.33647,0.89844,1.27938,1,0.97482,0.9946,0.55487,1.5338,1.03324,1.23653,0.000892682,0.000892682,0.000892682
11,391.09,1.35629,0.86133,1.3339,0.98277,1,0.99395,0.55871,1.53503,0.97923,1.25611,0.00097308,0.00097308,0.00097308
12,429.09,1.28596,0.8556,1.26343,0.9834,1,0.99468,0.53451,1.57319,1.02369,1.2613,0.0010515,0.0010515,0.0010515
13,456.487,1.3014,0.85563,1.27892,0.992,0.99957,0.995,0.54874,1.5937,0.87943,1.28704,0.00112794,0.00112794,0.00112794
14,489.708,1.30985,0.85797,1.26648,1,0.99899,0.995,0.56003,1.48224,0.79638,1.24873,0.00120239,0.00120239,0.00120239
15,526.416,1.30734,0.8602,1.27365,1,0.99968,0.995,0.57791,1.46652,0.81266,1.24076,0.00127487,0.00127487,0.00127487
16,559.612,1.30408,0.84924,1.29871,1,0.9996,0.995,0.57191,1.47305,0.87981,1.2536,0.00134537,0.00134537,0.00134537
17,592.509,1.30955,0.80437,1.25019,0.99193,0.99155,0.99403,0.53996,1.53118,0.9863,1.30469,0.00141389,0.00141389,0.00141389
18,627.056,1.30062,0.78909,1.23376,0.99183,0.99194,0.9946,0.56731,1.51719,0.96855,1.30564,0.00148043,0.00148043,0.00148043
19,659.604,1.242,0.76637,1.20447,0.98333,0.98387,0.9858,0.59738,1.43325,0.85428,1.27729,0.00154498,0.00154498,0.00154498
20,691.681,1.33462,0.81174,1.29571,0.99958,1,0.995,0.60661,1.39712,0.77016,1.21996,0.00160756,0.00160756,0.00160756
21,724.464,1.25309,0.78055,1.25536,0.99958,1,0.995,0.60661,1.39712,0.77016,1.21996,0.001604,0.001604,0.001604
22,756.928,1.35723,0.80864,1.29571,0.99921,0.99194,0.995,0.55023,1.53724,0.79093,1.26542,0.0015842,0.0015842,0.0015842
23,789.546,1.36119,0.85361,1.29318,1,0.97371,0.99212,0.55105,1.54239,0.81128,1.27916,0.0015644,0.0015644,0.0015644
24,822.101,1.35564,0.8694,1.30993,1,0.96078,0.99105,0.55194,1.50974,0.82796,1.2659,0.0015446,0.0015446,0.0015446
25,855.918,1.32834,0.83804,1.29653,0.98806,0.98387,0.98807,0.57115,1.44157,0.78534,1.25893,0.0015248,0.0015248,0.0015248
26,889.048,1.29257,0.83119,1.28631,0.99145,0.99194,0.99137,0.59162,1.37464,0.72441,1.2306,0.001505,0.001505,0.001505
27,921.463,1.31344,0.78012,1.25558,0.99145,0.99194,0.99137,0.59162,1.37464,0.72441,1.2306,0.0014852,0.0014852,0.0014852
28,958.799,1.3555,0.81922,1.28612,0.99943,1,0.995,0.56334,1.47979,0.70251,1.25115,0.0014654,0.0014654,0.0014654
29,993.429,1.30981,0.74526,1.22888,0.99832,1,0.995,0.55537,1.55475,0.76139,1.31535,0.0014456,0.0014456,0.0014456
30,1026.04,1.2857,0.77278,1.23752,0.99845,1,0.995,0.58372,1.47392,0.76303,1.24821,0.0014258,0.0014258,0.0014258
31,1058.34,1.21832,0.73675,1.22015,0.99773,1,0.995,0.58297,1.40113,0.7945,1.27968,0.001406,0.001406,0.001406
32,1090.3,1.26816,0.74749,1.25907,0.99615,1,0.995,0.55841,1.4262,0.78721,1.26541,0.0013862,0.0013862,0.0013862
33,1122,1.27468,0.73053,1.25387,0.99615,1,0.995,0.55841,1.4262,0.78721,1.26541,0.0013664,0.0013664,0.0013664
34,1154.47,1.29279,0.76237,1.259,0.9982,0.98387,0.98629,0.54754,1.50688,0.78863,1.2612,0.0013466,0.0013466,0.0013466
